,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text,Question,Answer,Test Imports,Assert Statement List,Tag
13,Longest Common Prefix,longest-common-prefix,"Write a function to find the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string """". ",String,Easy,39.3,3891029.0,1529495.0,7636.0,2930.0,,,,,,,,
14,3Sum,3sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets. ","Array,Two Pointers,Sorting",Medium,31.0,6090299.0,1886780.0,17218.0,1653.0,"So, we essentially need to find three numbers x, y, and z such that they add up to the given value. If we fix one of the numbers say x, we are left with the two-sum problem at hand! For the two-sum problem, if we fix one of the numbers, say x, we have to scan the entire array to find the next numbery which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought for two-sum is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","1,16,18,259","Two Sum,3Sum Closest,4Sum,3Sum Smaller",,,,,
15,3Sum Closest,3sum-closest,"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target. Return the sum of the three integers. You may assume that each input would have exactly one solution. ","Array,Two Pointers,Sorting",Medium,47.1,1665933.0,784188.0,5673.0,242.0,,"15,259","3Sum,3Sum Smaller",,,,,
16,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digit to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.  ","Hash Table,String,Backtracking",Medium,53.5,2146094.0,1147569.0,9594.0,668.0,,"22,39,401","Generate Parentheses,Combination Sum,Binary Watch",,,,,
17,4Sum,4sum,"Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that: You may return the answer in any order. ","Array,Two Pointers,Sorting",Medium,37.2,1528323.0,568804.0,6003.0,685.0,,"1,15,454,2122","Two Sum,3Sum,4Sum II,Count Special Quadruplets",,,,,
18,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"Given the head of a linked list, remove the nth node from the end of the list and return its head. ","Linked List,Two Pointers",Medium,38.2,3510223.0,1340984.0,9607.0,457.0,Maintain two pointers and update one with a delay of n steps.,"528,1618,2216","Swapping Nodes in a Linked List,Delete N Nodes After M Nodes of a Linked List,Delete the Middle Node of a Linked List",,,,,
19,Valid Parentheses,valid-parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: ","String,Stack",Easy,40.9,5271267.0,2154237.0,12523.0,554.0,"An interesting property about a valid parenthesis expression is that a sub-expression of a valid expression should also be a valid expression. (Not every sub-expression) e.g.


{ { } [ ] [ [ [ ] ] ] } is VALID expression
          [ [ [ ] ] ]    is VALID sub-expression
  { } [ ]                is VALID sub-expression


Can we exploit this recursive structure somehow? What if whenever we encounter a matching pair of parenthesis in the expression, we simply remove it from the expression? This would keep on shortening the expression. e.g.


{ { ( { } ) } }
      |_|

{ { (      ) } }
    |______|

{ {          } }
  |__________|

{                }
|________________|

VALID EXPRESSION! The stack data structure can come in handy here in representing this recursive structure of the problem. We can't really process this from the inside out because we don't have an idea about the overall structure. But, the stack can help us process this recursively i.e. from outside to inwards.","22,32,301,1045,2221","Generate Parentheses,Longest Valid Parentheses,Remove Invalid Parentheses,Check If Word Is Valid After Substitutions,Check if a Parentheses String Can Be Valid",,,,,
20,Merge Two Sorted Lists,merge-two-sorted-lists,You are given the heads of two sorted linked lists list1 and list2. Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list. ,"Linked List,Recursion",Easy,60.2,3519901.0,2118031.0,11753.0,1070.0,,"23,88,148,244,1774,2071","Merge k Sorted Lists,Merge Sorted Array,Sort List,Shortest Word Distance II,Add Two Polynomials Represented as Linked Lists,Longest Common Subsequence Between Sorted Arrays",,,,,
21,Generate Parentheses,generate-parentheses,"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses. ","String,Dynamic Programming,Backtracking",Medium,69.9,1475969.0,1032134.0,12456.0,483.0,,"17,20,2221","Letter Combinations of a Phone Number,Valid Parentheses,Check if a Parentheses String Can Be Valid",,,,,
22,Merge k Sorted Lists,merge-k-sorted-lists,"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it. ","Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort",Hard,46.9,2627265.0,1233044.0,11827.0,462.0,,"21,264","Merge Two Sorted Lists,Ugly Number II",,,,,
23,Swap Nodes in Pairs,swap-nodes-in-pairs,"Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.) ","Linked List,Recursion",Medium,58.6,1452282.0,851081.0,6765.0,289.0,,"25,528","Reverse Nodes in k-Group,Swapping Nodes in a Linked List",,,,,
24,Reverse Nodes in k-Group,reverse-nodes-in-k-group,"Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list. k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is. You may not alter the values in the list's nodes, only nodes themselves may be changed. ","Linked List,Recursion",Hard,50.9,983085.0,500025.0,6837.0,485.0,,"24,528,2196","Swap Nodes in Pairs,Swapping Nodes in a Linked List,Reverse Nodes in Even Length Groups",,,,,
25,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,"Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same. Since it is impossible to change the length of the array in some languages, you must instead have the result be placed in the first part of the array nums. More formally, if there are k elements after removing the duplicates, then the first k elements of nums should hold the final result. It does not matter what you leave beyond the first k elements. Return k after placing the final result in the first k slots of nums. Do not allocate extra space for another array. You must do this by modifying the input array in-place with O(1) extra memory. Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ","Array,Two Pointers",Easy,48.7,4249259.0,2071403.0,6360.0,9901.0,"In this problem, the key point to focus on is the input array being sorted. As far as duplicate elements are concerned, what is their positioning in the array when the given array is sorted? Look at the image above for the answer. If we know the position of one of the elements, do we also know the positioning of all the duplicate elements? We need to modify the array in-place and the size of the final array would potentially be smaller than the size of the input array. So, we ought to use a two-pointer approach here. One, that would keep track of the current element in the original array and another one for just the unique elements. Essentially, once an element is encountered, you simply need to bypass its duplicates and move on to the next unique element.","27,80","Remove Element,Remove Duplicates from Sorted Array II",,,,,
26,Remove Element,remove-element,"Given an integer array nums and an integer val, remove all occurrences of val in nums in-place. The relative order of the elements may be changed. Since it is impossible to change the length of the array in some languages, you must instead have the result be placed in the first part of the array nums. More formally, if there are k elements after removing the duplicates, then the first k elements of nums should hold the final result. It does not matter what you leave beyond the first k elements. Return k after placing the final result in the first k slots of nums. Do not allocate extra space for another array. You must do this by modifying the input array in-place with O(1) extra memory. Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ","Array,Two Pointers",Easy,51.1,2423858.0,1239786.0,3451.0,5135.0,"The problem statement clearly asks us to modify the array in-place and it also says that the element beyond the new length of the array can be anything. Given an element, we need to remove all the occurrences of it from the array. We don't technically need to remove that element per-say, right? We can move all the occurrences of this element to the end of the array. Use two pointers! Yet another direction of thought is to consider the elements to be removed as non-existent. In a single pass, if we keep copying the visible elements in-place, that should also solve this problem for us.","26,203,283","Remove Duplicates from Sorted Array,Remove Linked List Elements,Move Zeroes",,,,,
27,Implement strStr(),implement-strstr,"Implement strStr(). Given two strings needle and haystack, return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack. Clarification: What should we return when needle is an empty string? This is a great question to ask during an interview. For the purpose of this problem, we will return 0 when needle is an empty string. This is consistent to C's strstr() and Java's indexOf(). ","Two Pointers,String,String Matching",Easy,35.7,3395848.0,1213333.0,3863.0,3591.0,,"214,459","Shortest Palindrome,Repeated Substring Pattern",,,,,
28,Divide Two Integers,divide-two-integers,"Given two integers dividend and divisor, divide two integers without using multiplication, division, and mod operator. The integer division should truncate toward zero, which means losing its fractional part. For example, 8.345 would be truncated to 8, and -2.7335 would be truncated to -2. Return the quotient after dividing dividend by divisor. Note: Assume we are dealing with an environment that could only store integers within the 32-bit signed integer range: [−231, 231 − 1]. For this problem, if the quotient is strictly greater than 231 - 1, then return 231 - 1, and if the quotient is strictly less than -231, then return -231. ","Math,Bit Manipulation",Medium,17.0,2716082.0,462278.0,2666.0,9333.0,,,,,,,,
29,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,"You are given a string s and an array of strings words of the same length. Return all starting indices of substring(s) in s that is a concatenation of each word in words exactly once, in any order, and without any intervening characters. You can return the answer in any order. ","Hash Table,String,Sliding Window",Hard,28.0,894344.0,250616.0,1893.0,1828.0,,76,Minimum Window Substring,,,,,
30,Next Permutation,next-permutation,"A permutation of an array of integers is an arrangement of its members into a sequence or linear order. The next permutation of an array of integers is the next lexicographically greater permutation of its integer. More formally, if all the permutations of the array are sorted in one container according to their lexicographical order, then the next permutation of that array is the permutation that follows it in the sorted container. If such arrangement is not possible, the array must be rearranged as the lowest possible order (i.e., sorted in ascending order). Given an array of integers nums, find the next permutation of nums. The replacement must be in place and use only constant extra memory. ","Array,Two Pointers",Medium,36.3,2166111.0,787106.0,10346.0,3360.0,,"46,47,60,267,1978","Permutations,Permutations II,Permutation Sequence,Palindrome Permutation II,Minimum Adjacent Swaps to Reach the Kth Smallest Number",,,,,
31,Longest Valid Parentheses,longest-valid-parentheses,"Given a string containing just the characters '(' and ')', find the length of the longest valid (well-formed) parentheses substring. ","String,Dynamic Programming,Stack",Hard,31.2,1518755.0,474545.0,7527.0,256.0,,20,Valid Parentheses,,,,,
32,Search in Rotated Sorted Array,search-in-rotated-sorted-array,"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity. ","Array,Binary Search",Medium,37.7,3795739.0,1431906.0,13769.0,879.0,,"81,153,2273","Search in Rotated Sorted Array II,Find Minimum in Rotated Sorted Array,Pour Water Between Buckets to Make Water Levels Equal",,,,,
33,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,"Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value. If target is not found in the array, return [-1, -1]. You must write an algorithm with O(log n) runtime complexity. ","Array,Binary Search",Medium,40.0,2648073.0,1058127.0,10191.0,284.0,,"278,2165,2210","First Bad Version,Plates Between Candles,Find Target Indices After Sorting Array",,,,,
34,Search Insert Position,search-insert-position,"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. You must write an algorithm with O(log n) runtime complexity. ","Array,Binary Search",Easy,42.3,3247274.0,1374840.0,7432.0,401.0,,278,First Bad Version,,,,,
35,Valid Sudoku,valid-sudoku,Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules: Note: ,"Array,Hash Table,Matrix",Medium,54.9,1293488.0,710020.0,4857.0,695.0,,"37,2254","Sudoku Solver,Check if Every Row and Column Contains All Numbers",,,,,
36,Sudoku Solver,sudoku-solver,Write a program to solve a Sudoku puzzle by filling the empty cells. A sudoku solution must satisfy all of the following rules: The '.' character indicates empty cells. ,"Array,Backtracking,Matrix",Hard,53.7,634540.0,340851.0,4947.0,149.0,,"36,1022","Valid Sudoku,Unique Paths III",,,,,
37,Count and Say,count-and-say,"The count-and-say sequence is a sequence of digit strings defined by the recursive formula: To determine how you ""say"" a digit string, split it into the minimal number of groups so that each group is a contiguous section all of the same character. Then for each group, say the number of characters, then say the character. To convert the saying into a digit string, replace the counts with a number and concatenate every saying. For example, the saying and conversion for digit string ""3322251"": Given a positive integer n, return the nth term of the count-and-say sequence. ",String,Medium,48.6,1265537.0,614433.0,1383.0,3480.0,"The following are the terms from n=1 to n=10 of the count-and-say sequence:

 1.     1
 2.     11
 3.     21
 4.     1211
 5.     111221 
 6.     312211
 7.     13112221
 8.     1113213211
 9.     31131211131221
10.     13211311123113112211 To generate the nth term, just count and say the n-1th term.","271,443","Encode and Decode Strings,String Compression",,,,,
38,Combination Sum,combination-sum,"Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order. The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different. It is guaranteed that the number of unique combinations that sum up to target is less than 150 combinations for the given input. ","Array,Backtracking",Medium,65.3,1614657.0,1054189.0,10510.0,224.0,,"17,40,77,216,254,377","Letter Combinations of a Phone Number,Combination Sum II,Combinations,Combination Sum III,Factor Combinations,Combination Sum IV",,,,,
39,Combination Sum II,combination-sum-ii,"Given a collection of candidate numbers (candidates) and a target number (target), find all unique combinations in candidates where the candidate numbers sum to target. Each number in candidates may only be used once in the combination. Note: The solution set must not contain duplicate combinations. ","Array,Backtracking",Medium,52.3,1035167.0,541022.0,5048.0,134.0,,39,Combination Sum,,,,,
40,First Missing Positive,first-missing-positive,"Given an unsorted integer array nums, return the smallest missing positive integer. You must implement an algorithm that runs in O(n) time and uses constant extra space. ","Array,Hash Table",Hard,35.9,1845590.0,662571.0,9261.0,1303.0,Think about how you would solve the problem in non-constant space.  Can you apply that logic to the existing space? We don't care about duplicates or non-positive integers Remember that O(2n) = O(n),"268,287,448,770","Missing Number,Find the Duplicate Number,Find All Numbers Disappeared in an Array,Couples Holding Hands",,,,,
41,Trapping Rain Water,trapping-rain-water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining. ","Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack",Hard,56.3,1933682.0,1089492.0,17879.0,252.0,,"11,238,407,756","Container With Most Water,Product of Array Except Self,Trapping Rain Water II,Pour Water",,,,,
42,Multiply Strings,multiply-strings,"Given two non-negative integers num1 and num2 represented as strings, return the product of num1 and num2, also represented as a string. Note: You must not use any built-in BigInteger library or convert the inputs to integer directly. ","Math,String,Simulation",Medium,37.6,1334465.0,502405.0,4286.0,1685.0,,"2,66,67,415","Add Two Numbers,Plus One,Add Binary,Add Strings",,,,,
43,Wildcard Matching,wildcard-matching,"Given an input string (s) and a pattern (p), implement wildcard pattern matching with support for '?' and '*' where: The matching should cover the entire input string (not partial). ","String,Dynamic Programming,Greedy,Recursion",Hard,26.5,1428005.0,378580.0,4548.0,204.0,,10,Regular Expression Matching,,,,,
44,Jump Game II,jump-game-ii,"Given an array of non-negative integers nums, you are initially positioned at the first index of the array. Each element in the array represents your maximum jump length at that position. Your goal is to reach the last index in the minimum number of jumps. You can assume that you can always reach the last index. ","Array,Dynamic Programming,Greedy",Medium,37.0,1576789.0,583374.0,7769.0,291.0,,"55,1428,2001","Jump Game,Jump Game III,Jump Game VII",,,,,
45,Permutations,permutations,"Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order. ","Array,Backtracking",Medium,72.1,1572570.0,1133403.0,9957.0,181.0,,"31,47,60,77","Next Permutation,Permutations II,Permutation Sequence,Combinations",,,,,
46,Permutations II,permutations-ii,"Given a collection of numbers, nums, that might contain duplicates, return all possible unique permutations in any order. ","Array,Backtracking",Medium,54.0,1105821.0,596907.0,4794.0,90.0,,"31,46,267,1038","Next Permutation,Permutations,Palindrome Permutation II,Number of Squareful Arrays",,,,,
47,Rotate Image,rotate-image,"You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise). You have to rotate the image in-place, which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation. ","Array,Math,Matrix",Medium,66.4,1295324.0,860014.0,8777.0,473.0,,2015,Determine Whether Matrix Can Be Obtained By Rotation,,,,,
48,Group Anagrams,group-anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once. ","Hash Table,String,Sorting",Medium,64.0,2043076.0,1307071.0,8945.0,308.0,,"242,249","Valid Anagram,Group Shifted Strings",,,,,
49,"Pow(x, n)",powx-n,"Implement pow(x, n), which calculates x raised to the power n (i.e., xn). ","Math,Recursion",Medium,32.3,2733809.0,883674.0,4323.0,5309.0,,"69,372","Sqrt(x),Super Pow",,,,,
50,N-Queens,n-queens,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order. Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively. ","Array,Backtracking",Hard,57.2,625138.0,357360.0,5603.0,152.0,,"52,1043","N-Queens II,Grid Illumination",,,,,
51,N-Queens II,n-queens-ii,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return the number of distinct solutions to the n-queens puzzle. ",Backtracking,Hard,66.1,327225.0,216188.0,1670.0,209.0,,51,N-Queens,,,,,
52,Maximum Subarray,maximum-subarray,"Given an integer array nums, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. A subarray is a contiguous part of an array. ","Array,Divide and Conquer,Dynamic Programming",Easy,49.5,4544146.0,2249144.0,19877.0,969.0,,"121,152,697,1020,1849,1893","Best Time to Buy and Sell Stock,Maximum Product Subarray,Degree of an Array,Longest Turbulent Subarray,Maximum Absolute Sum of Any Subarray,Maximum Subarray Sum After One Operation",,,,,
53,Spiral Matrix,spiral-matrix,"Given an m x n matrix, return all elements of the matrix in spiral order. ","Array,Matrix,Simulation",Medium,41.2,1729035.0,713051.0,6929.0,818.0,"Well for some problems, the best way really is to come up with some algorithms for simulation. Basically, you need to simulate what the problem asks us to do. We go boundary by boundary and move inwards. That is the essential operation. First row, last column, last row, first column and then we move inwards by 1 and then repeat. That's all, that is all the simulation that we need. Think about when you want to switch the progress on one of the indexes. If you progress on i out of [i, j], you'd be shifting in the same column. Similarly, by changing values for j, you'd be shifting in the same row.
Also, keep track of the end of a boundary so that you can move inwards and then keep repeating. It's always best to run the simulation on edge cases like a single column or a single row to see if anything breaks or not.","59,921","Spiral Matrix II,Spiral Matrix III",,,,,
54,Jump Game,jump-game,"You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position. Return true if you can reach the last index, or false otherwise. ","Array,Dynamic Programming,Greedy",Medium,37.7,2575216.0,971160.0,10627.0,612.0,,"45,1428,2001","Jump Game II,Jump Game III,Jump Game VII",,,,,
55,Merge Intervals,merge-intervals,"Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input. ","Array,Sorting",Medium,44.8,3102911.0,1390388.0,13083.0,513.0,,"57,252,253,495,616,715,761,768,1028,2297,2319","Insert Interval,Meeting Rooms,Meeting Rooms II,Teemo Attacking,Add Bold Tag in String,Range Module,Employee Free Time,Partition Labels,Interval List Intersections,Amount of New Area Painted Each Day,Longest Substring of One Repeating Character",,,,,
56,Insert Interval,insert-interval,"You are given an array of non-overlapping intervals intervals where intervals[i] = [starti, endi] represent the start and the end of the ith interval and intervals is sorted in ascending order by starti. You are also given an interval newInterval = [start, end] that represents the start and end of another interval. Insert newInterval into intervals such that intervals is still sorted in ascending order by starti and intervals still does not have any overlapping intervals (merge overlapping intervals if necessary). Return intervals after the insertion. ",Array,Medium,37.3,1314450.0,490838.0,4631.0,334.0,,"56,715","Merge Intervals,Range Module",,,,,
57,Length of Last Word,length-of-last-word,"Given a string s consisting of some words separated by some number of spaces, return the length of the last word in the string. A word is a maximal substring consisting of non-space characters only. ",String,Easy,37.4,1916299.0,716989.0,875.0,70.0,,,,,,,,
58,Spiral Matrix II,spiral-matrix-ii,"Given a positive integer n, generate an n x n matrix filled with elements from 1 to n2 in spiral order. ","Array,Matrix,Simulation",Medium,64.7,549056.0,355230.0,3579.0,180.0,,"54,921","Spiral Matrix,Spiral Matrix III",,,,,
59,Permutation Sequence,permutation-sequence,"The set [1, 2, 3, ..., n] contains a total of n! unique permutations. By listing and labeling all of the permutations in order, we get the following sequence for n = 3: Given n and k, return the kth permutation sequence. ","Math,Recursion",Hard,42.0,633058.0,265892.0,3601.0,392.0,,"31,46","Next Permutation,Permutations",,,,,
60,Rotate List,rotate-list,"Given the head of a linked list, rotate the list to the right by k places. ","Linked List,Two Pointers",Medium,34.8,1566873.0,545760.0,4972.0,1265.0,,"189,725","Rotate Array,Split Linked List in Parts",,,,,
